Mass Bin,Sim_10000_a,Sim_10000_b,Sim_10000_c,Sim_10000_d,Sim_10000_e,Sim_10000_mean
1,7203359293,4.84E+11,72853367.86,257278.8798,53907933.07,98259675575
2,1.84E+13,1.14E+13,1.31E+13,9.62E+12,1.26E+13,1.30E+13
3,1.55E+14,1.47E+14,1.37E+14,1.27E+14,1.31E+14,1.39E+14
4,4.02E+14,3.76E+14,3.79E+14,4.40E+14,4.66E+14,4.13E+14
5,5.45E+14,6.37E+14,5.45E+14,5.61E+14,5.94E+14,5.76E+14
6,5.48E+14,6.57E+14,5.30E+14,4.90E+14,5.96E+14,5.64E+14
7,4.87E+14,4.48E+14,4.16E+14,3.88E+14,4.28E+14,4.33E+14
8,5.01E+14,5.27E+14,4.99E+14,4.96E+14,4.54E+14,4.95E+14
9,3.75E+14,2.77E+14,2.86E+14,2.93E+14,2.48E+14,2.96E+14
10,1.50E+14,1.33E+14,1.56E+14,1.39E+14,1.64E+14,1.48E+14
11,1.34E+14,1.33E+14,1.29E+14,1.33E+14,1.37E+14,1.33E+14
12,1.91E+14,1.95E+14,1.92E+14,1.96E+14,1.99E+14,1.94E+14
13,3.21E+14,3.34E+14,3.24E+14,3.33E+14,3.37E+14,3.30E+14
14,4.86E+14,5.11E+14,4.99E+14,5.08E+14,5.18E+14,5.04E+14
15,6.61E+14,7.00E+14,6.52E+14,6.63E+14,6.82E+14,6.72E+14
16,7.49E+14,8.11E+14,7.72E+14,7.72E+14,7.99E+14,7.81E+14
17,8.98E+14,9.77E+14,9.79E+14,1.01E+15,9.92E+14,9.72E+14
18,9.79E+14,1.04E+15,1.03E+15,1.05E+15,1.01E+15,1.02E+15
19,1.45E+15,1.42E+15,1.41E+15,1.37E+15,1.41E+15,1.41E+15
20,2.27E+15,2.13E+15,2.18E+15,2.10E+15,2.13E+15,2.16E+15
21,3.88E+15,3.51E+15,3.74E+15,3.41E+15,3.50E+15,3.61E+15
22,4.73E+15,4.40E+15,4.61E+15,4.25E+15,4.24E+15,4.45E+15
23,3.41E+15,3.07E+15,3.25E+15,3.34E+15,3.16E+15,3.25E+15
24,1.13E+15,9.67E+14,1.05E+15,1.09E+15,1.05E+15,1.06E+15
25,3.15E+13,3.20E+13,3.42E+13,4.39E+13,3.31E+13,3.49E+13
,,,,,,
Mass Bin,Sim_1000_a,Sim_1000_b,Sim_1000_c,Sim_1000_d,Sim_1000_e,Sim_1000_mean
1,88498659.71,809108442.9,9234598.183,61071018,393018534.8,272186250.7
2,1.23E+13,2.04E+13,1.88E+13,1.20E+13,8.11E+12,1.43E+13
3,1.64E+14,1.47E+14,1.55E+14,1.70E+14,1.51E+14,1.57E+14
4,4.85E+14,4.48E+14,4.20E+14,4.91E+14,4.05E+14,4.50E+14
5,6.99E+14,6.62E+14,6.49E+14,7.29E+14,6.28E+14,6.74E+14
6,5.45E+14,5.80E+14,5.59E+14,4.71E+14,5.94E+14,5.50E+14
7,4.37E+14,5.27E+14,5.66E+14,3.98E+14,4.60E+14,4.78E+14
8,5.79E+14,5.85E+14,6.06E+14,5.18E+14,4.56E+14,5.49E+14
9,3.68E+14,3.68E+14,3.25E+14,2.53E+14,2.57E+14,3.14E+14
10,1.59E+14,1.44E+14,1.35E+14,1.62E+14,1.29E+14,1.46E+14
11,1.47E+14,1.43E+14,1.51E+14,1.43E+14,1.41E+14,1.45E+14
12,2.16E+14,2.11E+14,2.12E+14,2.06E+14,2.12E+14,2.12E+14
13,3.54E+14,3.54E+14,3.59E+14,3.55E+14,3.51E+14,3.54E+14
14,5.52E+14,5.51E+14,5.48E+14,5.30E+14,5.36E+14,5.43E+14
15,6.98E+14,7.01E+14,7.07E+14,7.02E+14,7.32E+14,7.08E+14
16,8.00E+14,8.28E+14,8.18E+14,8.52E+14,9.03E+14,8.40E+14
17,1.03E+15,1.02E+15,9.36E+14,1.03E+15,1.01E+15,1.00E+15
18,1.04E+15,1.07E+15,9.55E+14,1.01E+15,1.00E+15,1.02E+15
19,1.32E+15,1.37E+15,1.37E+15,1.30E+15,1.36E+15,1.34E+15
20,2.02E+15,2.00E+15,2.06E+15,2.00E+15,2.09E+15,2.03E+15
21,3.27E+15,3.24E+15,3.41E+15,3.15E+15,3.27E+15,3.27E+15
22,2.95E+15,2.81E+15,3.08E+15,2.90E+15,3.05E+15,2.96E+15
23,1.58E+14,2.12E+14,1.78E+14,1.97E+14,1.99E+14,1.89E+14
24,,,,,,0
25,,,,,,0
,,,,,,
Mass Bin,Sim_100_a,Sim_100_b,Sim_100_c,Sim_100_d,Sim_100_e,Sim_100_mean
1,8294172.308,3.98E+11,3253581258,7117787.346,410213093.6,8.03E+10
2,1.55E+13,1.15E+13,6.71E+12,9.72E+12,1.47372E+13,1.16E+13
3,1.39E+14,1.89E+14,1.42E+14,1.71E+14,1.97893E+14,1.68E+14
4,4.73E+14,5.23E+14,5.15E+14,4.52E+14,4.76438E+14,4.88E+14
5,7.78E+14,7.26E+14,7.12E+14,6.59E+14,6.91633E+14,7.13E+14
6,5.75E+14,6.92E+14,6.26E+14,5.34E+14,5.33605E+14,5.92E+14
7,5.46E+14,6.15E+14,4.83E+14,4.84E+14,6.19707E+14,5.50E+14
8,5.95E+14,4.59E+14,5.12E+14,4.95E+14,4.62133E+14,5.05E+14
9,3.29E+14,2.43E+14,3.21E+14,2.49E+14,3.69542E+14,3.02E+14
10,1.64E+14,1.41E+14,1.47E+14,1.67E+14,1.60165E+14,1.56E+14
11,1.39E+14,1.43E+14,1.55E+14,1.52E+14,1.44933E+14,1.47E+14
12,2.03E+14,2.13E+14,2.19E+14,2.15E+14,2.11943E+14,2.12E+14
13,3.60E+14,3.72E+14,3.82E+14,3.76E+14,3.76854E+14,3.73E+14
14,4.98E+14,5.15E+14,5.22E+14,5.23E+14,5.39674E+14,5.20E+14
15,6.13E+14,6.48E+14,6.51E+14,6.35E+14,6.51929E+14,6.40E+14
16,8.21E+14,8.17E+14,8.06E+14,7.94E+14,8.29879E+14,8.14E+14
17,1.06E+15,9.15E+14,9.28E+14,1.01E+15,1.05912E+15,9.94E+14
18,1.08E+15,9.26E+14,9.93E+14,1.03E+15,1.08823E+15,1.02E+15
19,1.36E+15,1.30E+15,1.33E+15,1.31E+15,1.44069E+15,1.35E+15
20,1.62E+15,1.60E+15,1.61E+15,1.53E+15,1.64298E+15,1.60E+15
21,1.32E+15,1.19E+15,1.22E+15,1.20E+15,1.3199E+15,1.25E+15
22,7.04E+14,6.17E+14,7.07E+14,6.38E+14,7.94904E+14,6.92E+14
23,9.09E+13,9.56E+13,9.04E+13,9.20E+13,1.03193E+14,9.44E+13
24,,,,,,0
25,,,,,,0
